Video: Sample/videos/su55kMzAROCsMfmimnDS8A.mp4
FPS: 25.0
Sampling Interval: 2s (50 frames)
Range: 132s - 428s
--------------------------------------------------------------------------------------------------------------------------------------------
Time (s)   | Frame Diff %    | ROI0 Diff %     | Frame Thresh %  | ROI0 Thresh %   | Status
  366.00   |      1.212528%  |      2.549838%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  368.00   |      0.076170%  |      0.141505%  |        0.0500%  |        0.2000%  | F:PASS R:FAIL
  370.00   |      0.585982%  |      1.249331%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  372.00   |      0.028957%  |      0.061737%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  374.00   |      0.527970%  |      1.122864%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  376.00   |      5.194610%  |     34.316320%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  378.00   |      4.143766%  |     36.368288%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  380.00   |      0.031482%  |      0.054646%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  382.00   |      0.336422%  |      0.703947%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  384.00   |      0.148360%  |      0.315915%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  386.00   |      0.043818%  |      0.093423%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  388.00   |      0.250273%  |      0.533602%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  390.00   |      1.036086%  |      2.197732%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  392.00   |      1.452573%  |      3.085652%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  394.00   |      0.349963%  |      0.710797%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  396.00   |      2.504290%  |      5.311202%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  398.00   |      0.144640%  |      0.289809%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  400.00   |      0.043542%  |      0.057288%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  402.00   |      0.018791%  |      0.037057%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  404.00   |      0.000590%  |      0.000000%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  406.00   |      0.521536%  |      1.099377%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  408.00   |      0.003713%  |      0.007916%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  410.00   |      0.001431%  |      0.003052%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  412.00   |      0.517391%  |      1.096355%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  414.00   |      3.078258%  |      6.556342%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  416.00   |      1.107126%  |      2.360483%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  418.00   |      0.143791%  |      0.306547%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  420.00   |      0.589652%  |      1.257186%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  422.00   |      0.372994%  |      0.795254%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  424.00   |      1.646018%  |      3.391141%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  426.00   |      1.392364%  |      2.871182%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  428.00   |      1.449280%  |      3.081870%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
